Id,Name,Description,Awards
1,Daniel Abebayehu,"Daniel Abebayehu | Daniel Abebayehu uses biomaterials and high-dimensional approaches to study immuno-stromal axes to determine avenues for intervention that prevent fibrosis and promote repair. The lab's specific areas of interest are in pulmonary injury and repair and modulating responses to biomaterials. The goal is to identify novel diagnostic an therapeutic approaches for pulmonary fibrosis, as well as leverage existing biomaterial platforms in order to improve outcomes for biomaterials that are used clinically. Funding for this work is primarily through the National Institutes of Health and the University of Virginia.","National Institutes of Health Mosaic Postdoctoral Scholar 2022-2023, University of Virginia National Institutes of Health NRSA NHLBI Ruth L. Kirchstein F32 Postdoctoral Fellow (2017-2019), Virginia Commonwealth University Initiative for Maximizing Student Development (IMSD) Predoctoral Fellow (2015-2017), University of Virginia Biomedical Engineering Department 2023 “Best Mentor” Teaching Award awarded by UVA BMES | 2024 “Most Inclusive Professor” Teaching Award awarded by UVA BMES | 2024 “Best Advocate for Graduate Students” Award by UVA GBMES, Keystone Symposia Keystone Fellow (2025),"
271,Peter Griffiths,"Peter Griffiths | Dr. Griffiths’ primary interests are in researching and creating an engaging curriculum which provides a foundation for students’ future success in their engineering careers. He joined the University of Virginia faculty in 2024 as an Assistant Professor, Academic General Faculty to continue to pursue this interest. Prior to joining UVA, he was an Academic Professional at the Georgia Institute of Technology, where he also earned his PhD in Mechanical Engineering researching and creating a machine learning workflow for to create Process-Structure-Property linkages for the manufacturing of thin-films and membranes. During his PhD was when he discovered a passion for engineering education while as a teaching assistant and later instructor of a mechanical engineering laboratory course. In these roles he created a scenario-based approach to help students understand how engineering problem solving and technical communication are interwoven.",
272,Thomas Hartka,"Thomas R. Hartka | Thomas Hartka, MD, MS is an associate professor in the Department of Emergency Medicine and the Department of Mechanical and Aerospace Engineering. Dr. Hartka studied Computer Engineering at Virginia Tech, earning his Bachelors and Masters Degrees. He investigated structural optimization using cellular automata on reconfigurable hardware during his graduate work. After leaving Virginia Tech, he completed a premedical post-baccalaureate program at Johns Hopkins. He then worked as a research assistant in pediatric neurology at DC Children’s Hospital, specifically assisting on work to phenotype Alexander Disease. He attended the University of Virginia School of Medicine, then remained at the University of Virginia to complete his residency in Emergency Medicine. Dr. Hartka then took a position as the Trauma Research Fellow at the Center for Applied Biomechanics. After completing his fellowship, he joined the faculty at the University of Virginia. Dr. Hartka is currently board certified in Emergency Medicine and works clinically in the Emergency Department. He is also involved in medical student education, resident education, biomechanical instrumentation, and motor vehicle collision analysis.",
273,Richard Kent,"Richard W. Kent | Dr. Kent is the Frederick Tracy Morse Professor and Chair of Mechanical and Aerospace Engineering, Professor of Biomedical Engineering, and Professor of Orthopaedic Surgery at the University of Virginia, and co-Founder of the UVA Center for Applied Biomechanics.  He has worked in the fields of automobile safety and injury biomechanics for over 25 years and has published over 200 peer-reviewed books, chapters, and articles in those fields.  He has formally mentored over 70 graduate student theses and dissertations.  His most prominent contributions are focused on the biomechanical and injury characterization of the trunk, head, and lower extremities, and on the effects of aging on injury tolerance and dynamic loading response. His studies of aging have included biomechanical testing of ATDs, PMHS, and physiological models; computational modeling; and the analysis of real-world data at both the case-study level and integrated within databases.  He was Principal Investigator for the GHBMC Thorax and Upper Extremity Center of Expertise, which was responsible for the complete development of one of the world’s most anatomically detailed thorax finite element models. Recently, Dr. Kent has focused on the protection of elite athletes, with particular interest on injuries of the foot and ankle, concussion, and the design of helmets, athletic shoes, and surfaces for the mitigation of injury risk.  He served on the Joint NFL/NFLPA Engineering Committee for over a decade, was the founding chair of the Joint NFL/NFLPA Field Surface Safety and Performance Committee, and currently serves on the Injury Mechanism and Risk Factors Working Group of the National Basketball Association.  Dr. Kent is a Fellow of the Society of Automotive Engineers and the Association for the Advancement of Automotive Medicine and served on the Stapp Advisory Committee for 15 years.","Fellow, Association for the Advancement of Automotive Medicine, Fellow, Society of Automotive Engineers, Stapp Advisory Committee, Award of Merit, AAAM, SAE Ralph R. Teetor Educational Award, John Paul Stapp Award, Withrow Distinguished Speaker Award, Withrow Distinguished Speaker Award, Technology Review’s TR100,"
274,Jason Kerrigan,"Jason R. Kerrigan | Jason R. Kerrigan is the Commonwealth Professor of Mechanical and Aerospace Engineering and the Director of UVa's Center for Applied Biomechanics (CAB).  The CAB is the largest injury biomechanics research center in the world with more than 50 full-time faculty, staff and students and over $6M in annual research expenditures. They operate out of a dedicated 30,000 sqft facility with a vast array of cutting edge equipment for conducting impact experiments, characterizing biological tissue mechanical properties, performing high-speed imaging and 3D motion capture, designing and fabricating test fixtures, multiscale radiographic imaging, and for storing, preparing, and instrumenting human tissue for biomechanical analyses.","UVA Research Achievement Award 2023, Copenhaver Associate Professorship 2023-2026, UVA Trigon Engineering Society Thomas E. Hutchison Award (Finalist) 2022, UVA Dept of MAE Young Researcher of the Year 2019, Society of Automotive Engineers (SAE) Forest McFarland Award 2017, IRCOBI Young Researcher Award 2008,"
275,Frank Lagor,"Frank Lagor | Professor Lagor's current research interests focus on estimation and control for autonomous systems interacting with their fluid environments. He joined UVA as an associate professor in August 2023 from the State University of New York at Buffalo. He received his Ph.D. in aerospace engineering with an emphasis on dynamics and control and a minor specialization in aerodynamics from the University of Maryland in 2017. Prior to attending the University of Maryland, he worked for Lockheed Martin Space Systems Company where he was a Certified Principal Engineer of solar array drive assemblies for commercial and non-classified satellite programs. He holds an M.S. in mechanical engineering and applied mechanics from the University of Pennsylvania (2009), and a B.S. in mechanical engineering from Villanova University (2006).","AFOSR Young Investigator Award 2021, UB SEAS Early Career Teacher of the Year 2020,"
276,Xiaodong Li,"Xiaodong (Chris) Li | Dr. Li’s expertise and interests include (but not limited to) additive manufacturing, smart manufacturing, nanomaterial-enabled energy systems, biological and bio-inspired materials and devices, biomechanics, micro/nanomechanics, surface engineering, and tribology. His stature in the field of his expertise includes over 300 peer-reviewed journal articles in prestigious journals such as Science, Science Advances, Nature Communications, Advanced Materials, Advanced Energy Materials, Advanced Functional Materials, Nano Energy, Nano Letters, Physical Review Letters, Acta Materialia, Physical Review B, Journal of the Mechanics and Physics of Solids, and Additive Manufacturing; over 26,711 citations with H-index of 89; World’s Top 2% Scientists, Department of Energy VTO Distinguished Achievement Award, TMS MPMD Distinguished Scientist/Engineer Award, Professional Engineering Publisher's PE Prize, UVa Distinguished Researcher Award, and UVa SEAS Distinguished Faculty Award; over 90 invited plenary lectures/keynotes/talks at international conferences/workshops; Fellow of the American Society of Mechanical Engineers (ASME); Fellow of the Society of Experimental Mechanics (SEM); University of South Carolina CEC Distinguished Professor in Mechanical Engineering (10/2009-9/2012); and Rolls-Royce Commonwealth Professor at the University of Virginia (8/2013-present). His breakthrough work has been featured by over 1,000 media outlets worldwide including BBC, Discovery News, Science Daily, and MSNBC. His innovation on cotton textile- based composites was selected by New York Times – Year in Ideas for Year 2010. He served as an Associate Editor for Transactions of the ASME - Applied Mechanics Reviews (2014-2018) and he has served on the editorial board for over twelve journals. He reviews papers for 226 journals including Science and Nature series, and he was the elected chair for the TMS nanomechanical materials behavior committee.","World’s Top 2% Scientists, Department of Energy VTO Distinguished Achievement Award, TMS MPMD Distinguished Scientist/Engineer Award, Professional Engineering Publisher´s PE Prize, UVa Distinguished Researcher Award, Fellow of the American Society of Mechanical Engineers (ASME), Fellow of the Society of Experimental Mechanics (SEM), MRS Best Poster Award,"
277,Eric Loth,"Eric Loth | Prof. Eric Loth serves as the Rolls-Royce Commonwealth Professor of Engineering.  Loth’s current research focuses on extreme-scale wind turbines, energy-storage systems, multiphase flow, and aerospace propulsion.  With his students, he has authored over 200 journal papers, 10 patents, and has led more than $16M in research funding in his career.  He is a Fellow of ASME, AIAA, and was named a Yip Visiting Fellow of the Magdalene College at Cambridge University (U.K.).  Dr. Loth has given invited talks at several universities (including Harvard, MIT, Oxford, Penn, Princeton), several national labs (including NETL, NREL, NRL, SNL), and several conference and events (including ARPA-E Congressional Showcase, MIT A+B Applied Energy Symposium, International Conference on Applied Energy, and the World Energy Storage Conference).  He was the panel chair for NAE Energy Research at IMECE and for NAE Aerospace Research at AIAA Sci Tech.  His research has been covered by several media outlets (including American Scientist, CNBC, Daily Mail, LA Times, MIT Technology Review, New Scientist, Popular Science, and USA Today).  CV",
278,Lin Ma,"Lin Ma | 4D Diagnostics & Thermal-Fluids Development of novel diagnostics with 4D spatiotemporal resolution to study combustion, propulsion and fluid dynamics","NSF Career Award 2009, Ralph Teeter SAE Award 2015, Dean's Award for Excellence in Research 2016, Air Force Summer Faculty Fellow 2014, 2015, 2016,"
279,Michael Momot,"Michael Momot | Dr. Momot worked for a short time as a manufacturing engineer at General Electric's NELA park before obtaining a job with IBM as a design engineer working on printers.  After obtaining his doctorate, he went to teach at Virginia Military Institute.  After five years at VMI, he went to teach at University of Wisconsin-Platteville for twenty-two years.  At Platteville, he was very active in curriculum development, assessment, and international programs.  He spent one semester teaching in Jönköping, Sweden, and another semester teaching in Dalkeith, Scotland.  He also served as department chair while at Platteville.  His professional interests are in automation and control. His hobbies include woodworking and photography.",
280,Matthew Panzer,"Matthew B. Panzer | Dr. Panzer is the Associate Dean for Graduate Education and Post-Doctoral Affairs for the School of Engineering and Applied Sciences, a Professor of Mechanical & Aerospace Engineering and Biomedical Engineering at the University of Virginia, and the Deputy Director at the Center for Applied Biomechanics. He graduated from Duke University with a PhD in Biomedical Engineering, and from the University of Waterloo in Ontario Canada with this BS and MS in Mechanical Engineering. Dr. Panzer's research covers computational and experimental methods to study high-rate non-linear mechanics in the fields of tissue mechanics, impact biomechanics, vehicle crashworthiness, military blast and ballistics, and sports injury. Current applications of this research include the study of traumatic brain injury for blast, ballistic, and football helmet impacts, biological tissue testing and characterization, human body model development for automotive crashworthiness and blunt non-lethal weapons, and the development of injury mitigation systems such as helmets. Dr. Panzer has served as the Principal Investigator for more than 40 programs funded by various federal and industrial sponsors, and has authored more than 125 peer-reviewed journal and conference articles.","Shannon Fellow 2024-2027, Copenhaver Fellow 2023, MAE Early Career Researcher of the Year’ 2021, 2022, UVA Research Achievement Award 2019, MAE Young Research of the Year 2018, 2019,"
281,Joseph Park,"Joseph Park | Dr. Park is the associate director of the Foot and Ankle Fellowship at UVA and is the team foot and ankle surgeon for UVA Athletics. His research interests include injury biomechanics, sports-related injuries to the foot and ankle, tendon reconstruction, ankle replacement, bone grafting for complex arthrodesis procedures, and biomechanical properties of orthopedic implants. He holds a courtesy appointment in the Department of Mechanical and Aerospace Engineering.",
282,Matthew Reidenbach,"Matthew A. Reidenbach | Matt Reidenbach's primary area of research and teaching is coastal oceanography, with an emphasis on how hydrodynamics impact marine organisms and their ecosystems. His current research includes the effects of flow and turbulence on nutrient exchange in coral reefs, larval transport in estuaries, chemical dispersion in the ocean, and wave dynamics. Additionally, he investigates coastal resilience and nature-based solutions for coastal protection. Reidenbach is a recipient of the CAREER award from the National Science Foundation and an All-University teaching award from the University of Virginia.","NSF Career Award, NSF All University Teaching Award, National Pritchard Award (Coastal and Estuarine Research),"
283,Ann Reimers,"Ann Reimers | Dr. Ann Reimers retired as a full-time educator at UVa in May of 2023, but continues as a part-time academic advisor to Mechanical Engineering students. She is excited to be able to focus on supporting her advisees in their academic, emotional and professional growth.","Undergraduate Advisor of the Year, UVA Engineering, Mechanical & Aerospace Engineering 2023, Fellow of the Year, UVA Engineering, Mechanical & Aerospace Engineering Department 2023, Best Paper Award, ASEE Annual Conference, Mechanics Division 2020, Albert Einstein Distinguished Educator Fellow, US Dept. of Energy 2014,"
284,Shawn Russell,"Shawn Russell | Shawn Russell is currently the director of the Motion Analysis and Motor Performance Laboratory at the University of Virginia, oversees the day to day research operations of the laboratory and guides data collection and analysis. He has been conducting research using motion analysis for the last 18 years. This work has included the detection of motion events and the quantification of the kinetics and kinematics associated with tasks including; simple typically developed walking, pathological walking with and without assistive devices, scaling rock climbing walls, and predictive modeling of human movements. In addition his work is developing methods for detection, measure, and recognition of human movement in out of lab environments using state of the art IMU technology. More recently he has begun developing models and methods for the analysis of gait function in Lewis rats used in preclinical trials. These methods have enabled him to begin quantifying the effects of musculoskeletal injury and applied therapeutics on the movement function quality of their gait characteristics.",
285,Robert Salzar,"Robert S. Salzar | Dr. Salzar has over 25 years of experience in the field of engineering mechanics, with the last 13 years focusing on injury biomechanics.  After a two year post-doctoral NRC appointment with the NASA-Glenn Research Center researching advanced aerospace composite materials, Dr. Salzar won appointment as an Assistant Professor of Civil Engineering at the City University of New York.  His present appointment as Principal Scientist at the Center for Applied Biomechanics at the University of Virginia has focused on the cause and prevention of both automotive and high-loading rate military injuries.  Recent topics of research include review of the JTAPIC injury database for relevant military injuries, under-body blast biomechanics including PMHS testing and development of response and injury corridors for WIAMan Underbody Blast Manikin development, and detailed thoracic compliance modeling.  Dr. Salzar currently has over 50 refereed journal articles and over 100 conference publications in the fields of biomechanics and applied mechanics. Dr. Salzar won the University of Virginia MAE Research Scientist of the Year award in 2016.",
286,Ethan Scott,"Ethan A. Scott | Ethan joined the Department of Mechanical and Aerospace Engineering in 2023. He first came to the University of Virginia as an undergraduate and completed a B.S. in Mechanical Engineering in 2015 and a Ph.D. degree in Mechanical and Aerospace Engineering 2021. During his graduate research, he worked at Sandia National Laboratories in Albuquerque, New Mexico where he also served as a postdoctoral research associate prior to joining the faculty at UVA. In addition to teaching, he is Deputy Director of the EXSITE LAB led by Professor Patrick Hopkins. Ethan's research interests focus on the development and application of experimental techniques, including electro- and optothermal methods, to analyze heat and energy transfer in extremes of material size and environment.","Editor’s Pick, Applied Physics Letters APL 118, 202108 (2021), Nuclear Regulatory Commission ""Jump Start in Nuclear Materials Education and Research"" Fellowship 2017,"
287,Natasha Smith,"Natasha Smith | My research interests include pedagogical research focused on student reasoning, technical communication, and hands-on troubleshooting in a lab setting; systems engineering and the design process; reliability assessment and design, particularly using probabilistic methods; and prediction of material properties and/or structural system responses using statistical methods. I am a registered professional engineer with the state of Maine and have 20 years of combined active and reserve service as an officer in the Navy Civil Engineer Corps (Seabees). Before coming to U.Va., I was a military instructor at the U.S. Naval Academy and Associate Professor of Engineering at the University of Southern Indiana.",
288,Mark Sochor,"Mark R. Sochor | Dr. Mark Sochor is an Associate Professor of Emergency Medicine and Associate Professor in the School of Engineering and Applied Sciences at the University of Virginia. Dr. Sochor is a clinically active emergency medicine physician and the medical director at the Center for Applied Biomechanics. In addition, he is the director of the Center for Engineering-in-Medicine and holds numerous other adminstrative posts within UVA.  He currently conducts post-mortem human subjects (PMHS) testing, including test setup, subject instrumentation and post-impact autopsies.  Dr. Sochor has been PI or Co-PI on several grants which address issues related to motor vehicle safety as well as human response to blunt trauma.","President, Virginia College of Emergency Physicians, Chair, Training and Certification Committee – Association for Advancement of Automotive Medicine (AAAM), Young Achiever Award – AAAM, AJ Merkin Service Award – AAAM, American College of Emergency Physicians – Hero of Emergency Medicine, Virginia Department of Motor Vehicles Medical Advisory Board,"
289,Tengteng Tang,"Tengteng (Toni) Tang | Adaptation of the structure at all levels of hierarchy. The main focus of Dr. Tang's lab is to understand how these structures relate to their biomechanical functions across multiple length scales, with a particular interest at micro- and nanoscale levels. This understanding is critically important as some musculoskeletal diseases originate at the fundamental building block levels of individual collagen fibrils and mineral particles, such as in osteoarthritis.",
290,Thomas Ward,"Thomas Ward | Dr. Ward received a B.S. (1998) in Chemical Engineering from Missouri University of Science and Technology with a minor in Applied Mathematics, M.S. (2001) in Chemical Engineering from Stanford University and Ph.D. (2003) in Mechanical Engineering from University of California, Santa Barbara. He worked in postdoctoral researcher positions at Harvard University from 2001-2003 in the School of Engineering and Applied Science, and at the University of California, Los Angeles from 2003-2005 in the Math department. Prior to joining UVA, he served in the Aerospace Engineering department at Iowa State University. His research efforts have been supported by NSF, AFOSR, AFRL and DARPA, among others.","Air Force Research Lab Summer Faculty Fellowship Program Award 2022,"
291,Baoxing Xu,Baoxing Xu | Dr. Xu joined the Department of Mechanical and Aerospace Engineering at The University of Virginia in the fall of 2014. He received his PhD in Mechanics and Materials from Columbia University in 2012 and was a Beckman Postdoctoral Fellow at the University of Illinois at Urbana-Champaign from 2012 to 2014.,"Young Investigator Medal, Society of Engineering Science (SES) 2023, Rising Star, journal Advanced Materials 2023, Participant of China-America Frontiers of Engineering Symposium (CAFOE), US National Academy of Engineering (NAE) 2022, Sia Nemat-Nasser Early Career Award, American Society of Mechanical Engineers (ASME) 2020, Young Investigator Program (YIP) Award, Office of Naval Research 2020, Beckman Postdoctoral Fellow, University of Illinois at Urbana-Champaign 2012,"
292,Reid Bailey,"Reid Bailey | Reid Bailey is an engineering educator, designer, and scholar focused on engineering design education, systems thinking and analysis, & sustainability.  He joined the University of Virginia faculty in 2006, after he had held faculty posts at the University of Dayton and the University of Arizona, where he was the Lockheed Martin Assistant Professor of Engineering Design. With a focus on integrating real world engineering work into classes, Reid:","Outstanding Undergraduate Teaching Award, (elected by students) Systems and Information Engineering 2008, 2009, 2010, 2014, 2017, 2023, University of Virginia Excellence in Education Abroad Award 2014, Systems and Information Engineering Design Symposium Best Paper 2007, 2015, 2017, 2018 (2X), ASEE Annual Conference, Systems Engineering Division Best Paper 2012, Hartfield-Jefferson Teaching Award 2011,"
293,Laura Barnes,"Laura Barnes | Laura Barnes is a professor in the Department of Systems and Information Engineering. She is the Associate Director of Link Lab and directs the Sensing Systems for Health Lab which focuses on designing impactful, technology-enabled solutions for improving health and well-being. She received her Ph.D. degree in computer science from the University of South Florida. Laura’s work has been funded by the National Institutes of Health, National Institute of Aerospace, US Army, and private foundations.",
294,Matthew Bolton,"Matthew Bolton | Dr. Bolton is an Associate Professor in the Department of Systems and Information Engineering at the University of Virginia. Prior to joining UVA in January 2022, he was a Senior Researcher at the NASA Ames Research Center, an Assistant Professor of Industrial Engineering at the University of Illinois at Chicago, and an Assistant/Associate Professor at the University at Buffalo, the State University of New York. Dr. Bolton is primarily interested in studying why engineered systems fail, and how to prevent failures through human-centered systems engineering. As such, he is an expert on the use of formal, mathematical methods in human factors engineering, particularly as it relates to discovering engineering oversights that lead to human behavior, error, and cognition contributing to failures. He has successfully applied his research to safety-critical applications in aerospace, medicine, defense, and cybersecurity. Dr. Bolton has received funding on projects sponsored by the European Space Agency, NSF, NASA, AHRQ, and DoD.","Jerome H. Ely Human Factors Article Award, for the best paper published in the Human Factors journal 2021, William C. Howell Young Investigator Award, Human Factors and Ergonomics Society 2018, Army Young Investigator Award 2015-2017, Senior Member of the IEEE Society 2015, Franklin V. Taylor Memorial Award for the Best Conference Paper at the 2011 IEEE International Conference on Systems Man and Cybernetics 2011,"
295,Marc Breton,"Marc Breton | Dr. Marc Breton’s research is centered on bringing engineering techniques such as mathematical modeling, simulation, signal processing and automatic control into the field of medicine and clinical practice. Dr. Breton has participated in the design of the first (and to date only) simulation environment accepted by the US Food & Drugs Administration as replacement for animal studies in pre-clinical assessment of insulin treatment strategies, and is now in charge of its update and further development. He has been principal investigator on many clinical trials aimed at testing new insulin delivery strategies capable of avoiding hypoglycemia and reducing hyperglycemia, using continuous glucose monitors and subcutaneous insulin injection (Artificial Pancreas), and participated to the protocol and system designs. Aside from his responsibilities in the center Dr Breton enjoys rugby, sailing, food and wine, and family time.",
296,Donald Brown,"Donald E. Brown | Dr. Brown is Founding Director of the Data Science Institute, the W.S. Calcott Professor in the Systems and Information Engineering Department and Co-Director of the Translational Health Institute of Virginia, University of Virginia. Prior to joining the University of Virginia, Dr. Brown served as an officer in the U.S. Army and later worked at Vector Research, Inc. on projects in medical information processing and multi-sensor surveillance systems. He is now President of Commonwealth Computer Research, Inc. which provides data analysis and technical services for numerous private and governmental organizations. He serves on the National Research Council Committee on Transportation Security has served on the National Academy of Sciences panel on High Performance Computing and Crisis Management and on the NRC Committee on Surface Transportation Infrastructure Security. He is a past member of the Joint Directors of Laboratories Group on Data Fusion and a former Fellow at the National Institute of Justice Crime Mapping Research Center.","IEEE Joseph Wohl Career Achievement Award 2017, IEEE Intelligence and Security Informatics Award 2005, IEEE Norber Wiener Award 2002, IEEE Millenium Award 1999, Governor's Technology Award, Virginia 1999, Fellow, IEEE 1999,"
297,Matthew Burkett,"Matthew Burkett | Matt Burkett joined the University of Virginia faculty in 2022 after holding several positions in the private sector as the Vice President of Research for the investment firm, LOC Advisers, and as a Senior Director for Data & Analytics at the Ankura Consulting Group.  With a passion for teaching and integrating systems engineering fundamentals into real-world business practices, Matt is the Director of Professional Programs. He leads the development, launch, and operation of the ACCELERATED MASTER'S PROGRAM (AMP) in Systems Engineering in Northern Virginia.  Beyond his strong interest in teaching and executive education, Matt's research interests include the application of systems engineering principles in financial engineering and investment management, economic and statistical modeling, and Markovian processes.","SEAS Teaching Fellowship, University of Virginia 2016, Louis T. Radar Graduate Service Award, University of Virginia 2019, ,"
298,James Cheng,"James Cheng | Jim Cheng has over 25 years experience as a technology entrepreneur, angel/private capital investor, business leader and a senior state government executive. His primary interests are in the support and development of technology entrepreneurs and the entrepreneurial ecosystem of the University and the region.",
299,Hongru Du,"Hongru Du | Hongru Du is an Assistant Professor in the Department of Systems and Information Engineering at the University of Virginia. His research integrates systems engineering, artificial intelligence, and public health to develop AI-driven and computational frameworks that support data-informed health decision-making. He focuses on modeling human–disease interactions and improving the resilience and efficiency of health systems. Dr. Du is a founding contributor to the Johns Hopkins University CSSE COVID-19 Dashboard, one of the world’s most widely used pandemic tracking tools. His infectious disease forecasting models have supported the U.S. Centers for Disease Control and Prevention in guiding national responses to COVID-19 and seasonal influenza outbreaks. He continues to advance computational methodologies that integrate human behavior into complex systems modeling, with the goal of improving preparedness and resilience to tackle broader societal challenges.",
300,Roman Krzysztofowicz,"Roman Krzysztofowicz | Dr. Krzysztofowicz joined the U.Va. faculty in 1982, after he had held faculty posts at the University of Arizona and MIT. He He develops theories and models for probabilistic forecasting and optimal decision making under uncertainty.",
301,James Lark,"James W. Lark | Recipient of various academic honors, scholarships, and fellowships","Outstanding Undergraduate Teaching Award, International Council on Systems Engineering 2011,"
302,Jennifer Lobo,"Jennifer Mason Lobo | My research interests involve using mathematical modeling and stochastic optimization methods (primarily Markov modeling, Markov decision processes, and Monte Carlo simulation) to build models that simulate the natural course of disease. These models allow for estimation of outcomes under different screening and treatment policies in the absence of randomized controlled trials, and can be used to optimize screening and treatment decisions for patients with chronic diseases. My current projects include optimizing treatment and policy decisions for patients with type 2 diabetes, validating infrastructure decisions and scheduling for rural tele-cystoscopy clinics, and developing optimal treatment guidelines for small renal masses.",
303,Henning Mortveit,"Henning S. Mortveit | Henning Mortveit is an associate professor in the Department of Systems and Information Engineering and the Network Systems Science and Advanced Computing division in the UVA Biocomplexity Institute. He received his doctorate in mathematics from the Norwegian University of Science and Technology in 2000. Before joining UVA, he held positions at the Los Alamos National Laboratory and at Virginia Tech.",
304,Daniel Otero-León,"Daniel Otero-León | Daniel Otero-Leon is an Assistant Professor in the Department of Systems and Information Engineering at the University of Virginia. His research combines systems engineering, operations research, and machine learning to improve decision-making in healthcare. He develops models that explain and predict complex health behaviors, including youth substance use and mental health, cardiovascular disease prevention, and cancer management. His goal is to apply these models to design personalized and effective interventions.",
305,Michael Porter,Michael D. Porter | Michael D. Porter is an Associate Professor of Systems Engineering with a joint appointment at the Darden School of Business at the University of Virginia.,
306,Adarsh Ramakrishnan,"Adarsh Ramakrishnan | Adarsh Ramakrishnan is a product management leader and entrepreneur with a passion for engineering, design, and business. He founded 3 product-focused businesses and served in executive roles at an agency and manufacturing startup. He has also worked as a full-time product manager at CarMax, and has consulted for several SMBs.",
307,Sara Riggs,"Sara Lu Riggs | My research focuses on task sharing, attention management, and interruption management in complex environments that have included aviation, healthcare, military operations, and manufacturing. These work environments impose considerable and continually increasing attentional demands on operators by requiring them to work symbiotically with automation and technology. As such, they are required to divide their mental resources effectively amongst numerous tasks and sources of information. It is critical to consider cognitive ergonomics and systems engineering to support the design of interfaces that can present the right information at the right time. I currently have ongoing research on the following topics:",
308,Robert Riggs,"Robert Riggs | My research interest include integer programming and combinatorial optimization, healthcare systems engineering, applying lean enterprise to healthcare and manufacturing applications, optimization of disassembly and remanufacturing system, and game theory.",
309,In William,"In Memoriam: William T. Scherer | It is with great sadness that UVA Engineering shares news of a significant loss within our community.  Bill Scherer, professor and chair of Systems and Information Engineering, passed away on Wednesday, October 30. Please read more about Bill's life and legacy.","Outstanding Undergraduate Teaching Award in Systems Engineering, selected by students 2019 and 2020, TRB Best Paper Award - Ryan C. Boyer, William T. Scherer, and Michael C. Smith; Trends Over Two Decades of Transportation Research: A Machine Learning Approach 2017, Jefferson Scholars Hartfield-Jefferson Teaching Award 2013, All University Teaching Award from the University of Virginia in “recognition of excellent teaching and skill in motivating and inspiring students” 2006, Cited by Darden School of Business for Outstanding Performance in team teaching “Optimization models” 2002, SEAS Rodman Scholars Teaching Award for teaching excellence 2001, Mac Wade Award for outstanding service to School of Engineering and Applied Science 1996 -1997, Awarded the Lucien Carr Professorship of Engineering for outstanding contributions to undergraduate engineering education at the University 1995-1996, Named the Distinguished Faculty at the University of Virginia by the Student IMP Society 1993,"
310,Michael Smith,"Michael C. Smith | Michael Smith earned his B.S. and M.S. in Industrial Engineering at the University of Tennessee-Knoxville and his Ph.D. in Industrial Engineering at the University of Missouri-Columbia. He served as Executive Director of the Accelerated Master's Program in Systems Engineering (AMP) from 2004-2017 and continues to serve both AMP and the ESE Department on a part-time basis.  His experience involves teaching, research, and application of a broad spectrum of management science and operations management techniques with emphasis on systems analysis, design, and evaluation problems in public and private sector settings. He served on the Industrial Engineering faculties at Oregon State University and the University of Missouri-Columbia before joining Science Applications International Corporation (now Leidos) where he was a Senior Scientist from 1983-2004. His technical expertise spans applied quantitative methods, strategic planning, technology evaluation, and organizational assessment. He has worked across a variety of application domains including manufacturing, transportation, defense, and health care.  Dr. Smith continues to be active professionally as an independent consultant and as an ""on-call"" professional for Leidos where he engages in multiple programs in support of the Federal Highway Administration's Office of Operations.",","
311,Rupa Valdez,"Rupa S. Valdez | My research focuses on understanding and designing solutions to support the ways in which people manage health at home and in the community, drawing on methods from multiple disciplines including human factors engineering, cultural anthropology, and health informatics, among others. My work encompasses participatory and co-design approaches and attends to the ways in which social networks, physical environment, community resources, and information technology shape patient experiences. I am interested in how health is managed across various populations, including low wealth communities, rural communities, communities of color, and the disability community. A complementary research interest is in methodological development for research and teaching in this space. I have testified before Congress. I serve as Associate Editor for Ergonomics and the Journal of American Medical Informatics Association Open. I serve on the Board of Directors for the American Association of People with Disabilities. I also serve in advisory capacities for the Agency for Healthcare Research and Quality, the National Committee for Quality Assurance, and the National Academy of Science, Engineering, and Medicine. I previously served on PCORI's Patient Engagement Advisory Panel. I am also the Founder and President of the Blue Trunk Foundation.",
312,K. White,"K. Preston White | Dr. White's research interests include Monte Carlo and discrete-event simulation; sequencing and scheduling; quality, reliability, and statistical engineering; and logistics and supply chains. He is particularly interested in the integration of decision and information technologies and applications in aerospace, health-care, manufacturing, distribution, service, criminal justice, and military systems. He has published over 190 scholarly articles in these areas.","NSF Graduate Fellowship, SAE Teetor Educational Award, Boeing Outstanding Educator Award, NASA/NESC Group Achievement Award, INFORMS Simulation Society Distinguished Service Award,"
313,Monika Abramenko,"Monika Abramenko | I received the 'Diplom' in mathematics and computer science from the University of Frankfurt am Main, Germany, in 1993. My first job was as a program developer in the accounting department of a bank. In 2001 we moved to the United States and in 2005 I taught my first class at UVa, Financial Math, which I still teach every summer. In 2009 I joined the Engineering School as a full-time lecturer.",
314,Heze Chen,"Heze Chen | Heze Chen is an Assistant Professor in the Center for Applied Mathematics. He received his BS in Civil Engineering from Zhejiang University of Technology in 2016 and subsequently worked on construction projects. He joined the Department of Civil & Environmental Engineering at the University of Virginia as a graduate student in 2017, where he obtained both his MS and PhD degrees in Structural Engineering.",
