ID,Name,Departments,Description
255,Lin Zhou,MSE,"Lin Zhou is an associate professor of materials science and engineering at the University of Virginia. She specializes in advanced electron microscopy and spectroscopy to probe the structure and dynamics of materials. Before joining UVA, she was an associate professor of materials science and engineering at Iowa State University and a staff scientist at Ames National Laboratory. At Ames, she served as group leader and science coordinator of the Sensitive Instrument Facility, overseeing advanced electron-beam characterization instruments and research. She also led materials research on two- and three-dimensional quantum devices within the SQMS Center’s Quantum Technology Thrust."
256,Stephen Baek,MAE,"Stephen Baek is an Associate Professor of Data Science at the University of Virginia, where he also holds a courtesy appointment in the Department of Mechanical and Aerospace Engineering. Baek received his B.S. in Mechanical and Aerospace Engineering from Seoul National University (SNU), Seoul, Korea in 2009 and a Ph.D. in 2013 from the same institution for his award-winning study on the statistical space of shapes modeled on a Riemannian manifold. He was a postdoctoral researcher at the Institute for Advanced Machinery Design in SNU from 2013 to 2015 and a visiting research associate at the Ronald E. McNair Center for Aerospace Innovation and Research at the University of South Carolina in 2014. During his training, Baek received the National Science and Engineering Scholarship and the Global Ph.D. Fellowship from the Korean Ministry of Education. He was also awarded the Presidential Postdoc Fellowship from the President of the Republic of Korea. Prior to joining the University of Virginia, Baek spent 6 years as an Assistant Professor at the University of Iowa."
257,Hilary Bart-Smith,MAE,"Professor Bart-Smith joined the University of Virginia faculty in the fall of 2002. She obtained her undergraduate degree in Mechanical Engineering from the University of Glasgow, Glasgow, Scotland and her PhD degree in Engineering Sciences from Harvard University. Dr. Bart-Smith came to UVA from Princeton University where she worked at the Princeton Materials Institute with A.G. Evans. Since joining the Mechanical and Aerospace Engineering faculty at the University of Virginia in 2002, Bart-Smith has founded the Multifunctional Materials and Structures Laboratory and the Bio-inspired Engineering Research Laboratory."
258,David Brown,MAE,"David earned his B.S. and Ph.D. in Mechanical Engineering from the Georgia Institute of Technology. His dissertation focused on the thermal properties of two-dimensional materials and thin films utilized in nanoengineered systems. After graduation, David joined Raytheon Intelligence and Space in El Segundo, CA, and performed thermal design and analysis of spacecraft hardware. Following a brief stint in industry, he returned to academia as a postdoctoral fellow in the Mechanical and Aerospace Engineering Department at the University of California, Los Angeles. Before joining the University of Virginia, he was a research fellow in the Department of Mechanical Engineering at the University of Michigan. David received multiple fellowships, including the National Science Foundation Graduate Research Fellowship, the Alfred P. Sloan Foundation Minority Ph.D. Fellowship, and the University of California Chancellor’s Postdoctoral Fellowship."
259,Qing Chang,MAE;SYS,"Qing Chang’s current research interests include math-based and data-enabled modeling and analysis of dynamic manufacturing systems, improving manufacturing efficiency and sustainability through adaptive control and machine learning-based methods, and driving innovation in human-robot collaborations within the manufacturing domain."
260,Harsha Chelliah,MAE,"Professor Chelliah joined the University of Virginia in the Fall of 1992. He received his PhD degree in Mechanical and Aerospace Engineering from Princeton University in January 1989. After completion of his Ph.D., he continued his research at Princeton University as a Research Associate/Staff Member from 1988-1992. His research interests include fundamental interactions between finite-rate kinetics and fluid transport phenomena, with applications to fire initiation, propagation, and mitigation; basic combustion aspects related to gas-turbine engines; turbulence-chemistry interactions in hypersonic engines; endothermic cooling using jet/rocket fuels; kinetics of ceramic material (SiC, BN, ...) synthesis, and many others."
261,Chen Cui,MAE,"Chen Cui received his Ph.D. in Astronautical Engineering from the University of Southern California in 2023, where he also completed his Master’s degree in High-Performance Computing. He earned his Bachelor’s degree from Beihang University in 2017. Before joining the University of Virginia as an assistant professor in the Department of Mechanical and Aerospace Engineering, Dr. Cui was an assistant professor in the Department of Aerospace Engineering at Mississippi State University. Dr. Cui’s research lies at the intersection of plasma physics, space engineering, and high-performance computing. His work focuses on the high-fidelity, fully kinetic modeling of plasma dynamics in spacecraft electric propulsion thrusters, solar wind, and other applications related to low-temperature plasmas. Dr. Cui is the primary developer of Vlasolver, a large-scale, parallelized framework for fully kinetic plasma modeling."
262,Chloe Dedic,MAE,"Dedic received her B.S. and Ph.D. degrees from Iowa State University in 2012 and 2017, respectively. After graduation she worked as a visiting scientist with the National Institute of Aerospace at NASA Langley Research Center and joined the University of Virginia as an assistant professor in 2018. Dedic is an active member of the American Institute of Aeronautics and Astronautics (AIAA), and serves on the AIAA Technical Committee on Aerodynamic Measurement Technology."
263,Haibo Dong,MAE,"Professor Dong joined UVA as an Associate Professor in August 2012. Prior to his position at UVA, Dr. Dong was an associate professor of Mechanical Engineering at the Wright State University. He obtained his Ph.D. degree in Aerospace Engineering from UCLA in 2003. After completing his doctorate, he spent three years as a post-doctoral researcher at the George Washington University on an ONR sponsored MURI program."
264,Jason Forman,MAE,"Jason Forman's research topics include the development and biofidelity evaluation of anthropomorphic test devices, the execution of full-scale impact biomechanics experiments with dummies and other models in simulated automobile collision environments, the development of injury risk functions for use with dummies and computational models, field data analysis for injury risk factor evaluation, and investigating the effects of factors such as aging and obesity on injury risk. He has twenty years of experience in injury biomechanics research spanning topics from dummy and injury risk function development to the micro-mechanical behavior of biological tissues. After completing his graduate work at the University of Virginia Center for Applied Biomechanics, Dr. Forman served for two years as the Deputy Director for Science at the European Center for Injury Prevention (Pamplona, Spain). Upon returning to UVA, Dr. Forman continued in experimental biomechanics research as a Senior Scientist, Principal Scientist and then Research Associate Professor. Jason's other interests include hiking, outdoor sports, travel, and food."
265,Tomonari Furukawa,MAE,"Professor Furukawa received his B.Eng. in Mechanical Engineering from Waseda University, Japan, in 1990, and a M.Eng. (Research) in Mechatronic Engineering from University of Sydney, Australia, in 1993 and a Ph.D in Quantum Engineering and Systems Science from University of Tokyo, Japan, in 1996. He has extensive research experiences in the field of robotics and computational mechanics. He has published over 300 journal and refereed conference papers, served on Editorial Boards for five international journals and as an international organizing committee member for over 10 international conferences and won a number of career research awards and paper awards."
266,Xinfeng Gao,MAE,"Xinfeng Gao's research is focused on the development of high-performance computing (HPC) computational fluid dynamics (CFD) algorithms for a wide range of applications in aerospace and mechanical engineering, involving shock waves, turbulence, combustion, plasma, and multifluids. Her research is categorized into three areas:"
267,Gavin Garner,MAE,"Gavin Garner joined the University of Virginia faculty in 2009. He holds a bachelor’s degree in Physics from Colby College and Master’s and Ph.D. degrees from the University of Virginia in both Mechanical and Aerospace Engineering. He worked as a mechanical engineer for AMF Bowling Worldwide, Inc. before beginning his graduate studies. Dr. Garner is an active member of the American Society of Mechanical Engineers (ASME) and was honored as an ASME graduate teaching fellow from 2007 to 2009. He currently serves as the faculty advisor for U.Va.’s student chapters of ASME and Pi Tau Sigma, the international Mechanical Engineering Honor Society."
268,Bronislaw Gepner,MAE,"Bronislaw Gepner received his Master of Science degree from the Warsaw University of Technology in Civil Engineering in the spring of 2009. For two years, during his Master’s program he worked as a structural engineer in the Pro-Invest structural design office in Warsaw, Poland. In the fall of 2009 he entered the PhD program at the Florida State University. Until October 2014, he worked as a research assistant at the Crashworthiness and Impact Analysis Laboratory supervised by Dr. Jerry Wekezer and was assigned to work on the “Crashworthiness Evaluation of Paratransit Buses” Florida Department of Transportation project. During his PhD program most of his work pertained to the Finite Element Analysis related to paratransit bus safety. In October 2014, Dr. Gepner joined the research team at the Center for Applied Biomechanics, where his work focuses on finite element modeling, numerical support of experiments, and massively parallel computing. His areas of interest are occupant safety, human body modeling and vehicle crashworthiness."
269,Gregory Gerling,MAE;SYS,"My research interests span the fields of haptics, computational neuroscience, biomechanics, human–machine interaction, UX/UI, and human factors and ergonomics. At present, we are investigating cutaneous and proprioceptive cues that convey an object’s softness, and neural and biomechanical bases of both social and emotional touch and soft tissue manipulation or massage. My research is highly collaborative and interdisciplinary and primarily lies in the domain surrounding human health. We employ computational models, statistical analysis, data science, and imaging techniques, design and build unique mechanical and electrical devices, and perform psychophysical experiments with human participants. This work is often done in close collaboration with neuroscientists, in human and mouse model systems. A thorough understanding of tactile cues in early, peripheral stages is key to deciphering the whole perceptual chain, as well as engineering sensors and human-machine interfaces."
270,George Glass,MAE,"Trauma Research Fellow, University of Virginia (2017)"
271,Christopher Goyne,MAE,"Professor Goyne obtained a Bachelor of Mechanical Engineering and Ph.D. from the University of Queensland, Australia, in 1991 and 1999, respectively. During his Ph.D. research, Prof. Goyne specialized in high-speed aerodynamics, high-speed air-breathing propulsion and instrumentation development. Upon completion of his graduate studies, Goyne joined the Department of Mechanical and Aerospace Engineering at the University of Virginia as a Research Associate. Here he conducted research in hypersonic propulsion using the University of Virginia’s unique Supersonic Combustion Facility. This work was funded by NASA’s Hyper-X Program. He briefly returned to the University of Queensland to participate in the HyShot scramjet flight test program before joining the faculty at the University of Virginia. Now an Associate Professor and Director of the Aerospace Research Laboratory, he continues his work in hypersonic air-breathing propulsion, supersonic aerodynamics, hypersonic ground and flight test techniques, diagnostic and measurement technique development, controls and advanced manufacturing."
272,Peter Griffiths,MAE,"Dr. Griffiths’ primary interests are in researching and creating an engaging curriculum which provides a foundation for students’ future success in their engineering careers. He joined the University of Virginia faculty in 2024 as an Assistant Professor, Academic General Faculty to continue to pursue this interest. Prior to joining UVA, he was an Academic Professional at the Georgia Institute of Technology, where he also earned his PhD in Mechanical Engineering researching and creating a machine learning workflow for to create Process-Structure-Property linkages for the manufacturing of thin-films and membranes. During his PhD was when he discovered a passion for engineering education while as a teaching assistant and later instructor of a mechanical engineering laboratory course. In these roles he created a scenario-based approach to help students understand how engineering problem solving and technical communication are interwoven."
273,Thomas Hartka,MAE,"Thomas Hartka, MD, MS is an associate professor in the Department of Emergency Medicine and the Department of Mechanical and Aerospace Engineering. Dr. Hartka studied Computer Engineering at Virginia Tech, earning his Bachelors and Masters Degrees. He investigated structural optimization using cellular automata on reconfigurable hardware during his graduate work. After leaving Virginia Tech, he completed a premedical post-baccalaureate program at Johns Hopkins. He then worked as a research assistant in pediatric neurology at DC Children’s Hospital, specifically assisting on work to phenotype Alexander Disease. He attended the University of Virginia School of Medicine, then remained at the University of Virginia to complete his residency in Emergency Medicine. Dr. Hartka then took a position as the Trauma Research Fellow at the Center for Applied Biomechanics. After completing his fellowship, he joined the faculty at the University of Virginia. Dr. Hartka is currently board certified in Emergency Medicine and works clinically in the Emergency Department. He is also involved in medical student education, resident education, biomechanical instrumentation, and motor vehicle collision analysis."
274,Richard Kent,MAE,"Dr. Kent is the Frederick Tracy Morse Professor and Chair of Mechanical and Aerospace Engineering, Professor of Biomedical Engineering, and Professor of Orthopaedic Surgery at the University of Virginia, and co-Founder of the UVA Center for Applied Biomechanics.  He has worked in the fields of automobile safety and injury biomechanics for over 25 years and has published over 200 peer-reviewed books, chapters, and articles in those fields.  He has formally mentored over 70 graduate student theses and dissertations.  His most prominent contributions are focused on the biomechanical and injury characterization of the trunk, head, and lower extremities, and on the effects of aging on injury tolerance and dynamic loading response. His studies of aging have included biomechanical testing of ATDs, PMHS, and physiological models; computational modeling; and the analysis of real-world data at both the case-study level and integrated within databases.  He was Principal Investigator for the GHBMC Thorax and Upper Extremity Center of Expertise, which was responsible for the complete development of one of the world’s most anatomically detailed thorax finite element models. Recently, Dr. Kent has focused on the protection of elite athletes, with particular interest on injuries of the foot and ankle, concussion, and the design of helmets, athletic shoes, and surfaces for the mitigation of injury risk.  He served on the Joint NFL/NFLPA Engineering Committee for over a decade, was the founding chair of the Joint NFL/NFLPA Field Surface Safety and Performance Committee, and currently serves on the Injury Mechanism and Risk Factors Working Group of the National Basketball Association.  Dr. Kent is a Fellow of the Society of Automotive Engineers and the Association for the Advancement of Automotive Medicine and served on the Stapp Advisory Committee for 15 years."
275,Jason Kerrigan,MAE,"Jason R. Kerrigan is the Commonwealth Professor of Mechanical and Aerospace Engineering and the Director of UVa's Center for Applied Biomechanics (CAB).  The CAB is the largest injury biomechanics research center in the world with more than 50 full-time faculty, staff and students and over $6M in annual research expenditures. They operate out of a dedicated 30,000 sqft facility with a vast array of cutting edge equipment for conducting impact experiments, characterizing biological tissue mechanical properties, performing high-speed imaging and 3D motion capture, designing and fabricating test fixtures, multiscale radiographic imaging, and for storing, preparing, and instrumenting human tissue for biomechanical analyses."
276,Frank Lagor,MAE,"Professor Lagor's current research interests focus on estimation and control for autonomous systems interacting with their fluid environments. He joined UVA as an associate professor in August 2023 from the State University of New York at Buffalo. He received his Ph.D. in aerospace engineering with an emphasis on dynamics and control and a minor specialization in aerodynamics from the University of Maryland in 2017. Prior to attending the University of Maryland, he worked for Lockheed Martin Space Systems Company where he was a Certified Principal Engineer of solar array drive assemblies for commercial and non-classified satellite programs. He holds an M.S. in mechanical engineering and applied mechanics from the University of Pennsylvania (2009), and a B.S. in mechanical engineering from Villanova University (2006)."
277,Xiaodong Li,MAE,"Dr. Li’s expertise and interests include (but not limited to) additive manufacturing, smart manufacturing, nanomaterial-enabled energy systems, biological and bio-inspired materials and devices, biomechanics, micro/nanomechanics, surface engineering, and tribology. His stature in the field of his expertise includes over 300 peer-reviewed journal articles in prestigious journals such as Science, Science Advances, Nature Communications, Advanced Materials, Advanced Energy Materials, Advanced Functional Materials, Nano Energy, Nano Letters, Physical Review Letters, Acta Materialia, Physical Review B, Journal of the Mechanics and Physics of Solids, and Additive Manufacturing; over 26,459 citations with H-index of 87; World’s Top 2% Scientists, Department of Energy VTO Distinguished Achievement Award, TMS MPMD Distinguished Scientist/Engineer Award, Professional Engineering Publisher's PE Prize, UVa Distinguished Researcher Award, and UVa SEAS Distinguished Faculty Award; over 90 invited plenary lectures/keynotes/talks at international conferences/workshops; Fellow of the American Society of Mechanical Engineers (ASME); Fellow of the Society of Experimental Mechanics (SEM); University of South Carolina CEC Distinguished Professor in Mechanical Engineering (10/2009-9/2012); and Rolls-Royce Commonwealth Professor at the University of Virginia (8/2013-present). His breakthrough work has been featured by over 1,000 media outlets worldwide including BBC, Discovery News, Science Daily, and MSNBC. His innovation on cotton textile- based composites was selected by New York Times – Year in Ideas for Year 2010. He served as an Associate Editor for Transactions of the ASME - Applied Mechanics Reviews (2014-2018) and he has served on the editorial board for over twelve journals. He reviews papers for 222 journals including Science and Nature series, and he was the elected chair for the TMS nanomechanical materials behavior committee."
278,Eric Loth,MAE,"Prof. Eric Loth serves as the Rolls-Royce Commonwealth Professor of Engineering.  Loth’s current research focuses on extreme-scale wind turbines, energy-storage systems, multiphase flow, and aerospace propulsion.  With his students, he has authored over 200 journal papers, 10 patents, and has led more than $16M in research funding in his career.  He is a Fellow of ASME, AIAA, and was named a Yip Visiting Fellow of the Magdalene College at Cambridge University (U.K.).  Dr. Loth has given invited talks at several universities (including Harvard, MIT, Oxford, Penn, Princeton), several national labs (including NETL, NREL, NRL, SNL), and several conference and events (including ARPA-E Congressional Showcase, MIT A+B Applied Energy Symposium, International Conference on Applied Energy, and the World Energy Storage Conference).  He was the panel chair for NAE Energy Research at IMECE and for NAE Aerospace Research at AIAA Sci Tech.  His research has been covered by several media outlets (including American Scientist, CNBC, Daily Mail, LA Times, MIT Technology Review, New Scientist, Popular Science, and USA Today).
279,Lin Ma,MAE,"4D Diagnostics & Thermal-Fluids. Development of novel diagnostics with 4D spatiotemporal resolution to study combustion, propulsion and fluid dynamics"
280,Michael Momot,MAE,"Dr. Momot worked for a short time as a manufacturing engineer at General Electric's NELA park before obtaining a job with IBM as a design engineer working on printers.  After obtaining his doctorate, he went to teach at Virginia Military Institute.  After five years at VMI, he went to teach at University of Wisconsin-Platteville for twenty-two years.  At Platteville, he was very active in curriculum development, assessment, and international programs.  He spent one semester teaching in Jönköping, Sweden, and another semester teaching in Dalkeith, Scotland.  He also served as department chair while at Platteville.  His professional interests are in automation and control. His hobbies include woodworking and photography."
281,Matthew Panzer,MAE,"Dr. Panzer is the Associate Dean for Graduate Education and Post-Doctoral Affairs for the School of Engineering and Applied Sciences, a Professor of Mechanical & Aerospace Engineering and Biomedical Engineering at the University of Virginia, and the Deputy Director at the Center for Applied Biomechanics. He graduated from Duke University with a PhD in Biomedical Engineering, and from the University of Waterloo in Ontario Canada with this BS and MS in Mechanical Engineering. Dr. Panzer's research covers computational and experimental methods to study high-rate non-linear mechanics in the fields of tissue mechanics, impact biomechanics, vehicle crashworthiness, military blast and ballistics, and sports injury. Current applications of this research include the study of traumatic brain injury for blast, ballistic, and football helmet impacts, biological tissue testing and characterization, human body model development for automotive crashworthiness and blunt non-lethal weapons, and the development of injury mitigation systems such as helmets. Dr. Panzer has served as the Principal Investigator for more than 40 programs funded by various federal and industrial sponsors, and has authored more than 125 peer-reviewed journal and conference articles."
282,Joseph Park,MAE,"Dr. Park is the associate director of the Foot and Ankle Fellowship at UVA and is the team foot and ankle surgeon for UVA Athletics. His research interests include injury biomechanics, sports-related injuries to the foot and ankle, tendon reconstruction, ankle replacement, bone grafting for complex arthrodesis procedures, and biomechanical properties of orthopedic implants. He holds a courtesy appointment in the Department of Mechanical and Aerospace Engineering."
283,Matthew Reidenbach,MAE,"Matt Reidenbach's primary area of research and teaching is coastal oceanography, with an emphasis on how hydrodynamics impact marine organisms and their ecosystems. His current research includes the effects of flow and turbulence on nutrient exchange in coral reefs, larval transport in estuaries, chemical dispersion in the ocean, and wave dynamics. Additionally, he investigates coastal resilience and nature-based solutions for coastal protection. Reidenbach is a recipient of the CAREER award from the National Science Foundation and an All-University teaching award from the University of Virginia."
284,Ann Reimers,MAE,"Dr. Ann Reimers retired as a full-time educator at UVa in May of 2023, but continues as a part-time academic advisor to Mechanical Engineering students. She is excited to be able to focus on supporting her advisees in their academic, emotional and professional growth."
285,Shawn Russell,MAE,"Shawn Russell is currently the director of the Motion Analysis and Motor Performance Laboratory at the University of Virginia, oversees the day to day research operations of the laboratory and guides data collection and analysis. He has been conducting research using motion analysis for the last 18 years. This work has included the detection of motion events and the quantification of the kinetics and kinematics associated with tasks including; simple typically developed walking, pathological walking with and without assistive devices, scaling rock climbing walls, and predictive modeling of human movements. In addition his work is developing methods for detection, measure, and recognition of human movement in out of lab environments using state of the art IMU technology. More recently he has begun developing models and methods for the analysis of gait function in Lewis rats used in preclinical trials. These methods have enabled him to begin quantifying the effects of musculoskeletal injury and applied therapeutics on the movement function quality of their gait characteristics."
286,Robert Salzar,MAE,"Dr. Salzar has over 25 years of experience in the field of engineering mechanics, with the last 13 years focusing on injury biomechanics.  After a two year post-doctoral NRC appointment with the NASA-Glenn Research Center researching advanced aerospace composite materials, Dr. Salzar won appointment as an Assistant Professor of Civil Engineering at the City University of New York.  His present appointment as Principal Scientist at the Center for Applied Biomechanics at the University of Virginia has focused on the cause and prevention of both automotive and high-loading rate military injuries.  Recent topics of research include review of the JTAPIC injury database for relevant military injuries, under-body blast biomechanics including PMHS testing and development of response and injury corridors for WIAMan Underbody Blast Manikin development, and detailed thoracic compliance modeling.  Dr. Salzar currently has over 50 refereed journal articles and over 100 conference publications in the fields of biomechanics and applied mechanics. Dr. Salzar won the University of Virginia MAE Research Scientist of the Year award in 2016."
287,Ethan Scott,MAE,"Ethan joined the Department of Mechanical and Aerospace Engineering in 2023. He first came to the University of Virginia as an undergraduate and completed a B.S. in Mechanical Engineering in 2015 and a Ph.D. degree in Mechanical and Aerospace Engineering 2021. During his graduate research, he worked at Sandia National Laboratories in Albuquerque, New Mexico where he also served as a postdoctoral research associate prior to joining the faculty at UVA. In addition to teaching, he is Deputy Director of the EXSITE LAB led by Professor Patrick Hopkins. Ethan's research interests focus on the development and application of experimental techniques, including electro- and optothermal methods, to analyze heat and energy transfer in extremes of material size and environment."
288,Natasha Smith,MAE,"My research interests include pedagogical research focused on student reasoning, technical communication, and hands-on troubleshooting in a lab setting; systems engineering and the design process; reliability assessment and design, particularly using probabilistic methods; and prediction of material properties and/or structural system responses using statistical methods. I am a registered professional engineer with the state of Maine and have 20 years of combined active and reserve service as an officer in the Navy Civil Engineer Corps (Seabees). Before coming to U.Va., I was a military instructor at the U.S. Naval Academy and Associate Professor of Engineering at the University of Southern Indiana."
289,Mark Sochor,MAE,"Dr. Mark Sochor is an Associate Professor of Emergency Medicine and Associate Professor in the School of Engineering and Applied Sciences at the University of Virginia. Dr. Sochor is a clinically active emergency medicine physician and the medical director at the Center for Applied Biomechanics. In addition, he is the director of the Center for Engineering-in-Medicine and holds numerous other adminstrative posts within UVA.  He currently conducts post-mortem human subjects (PMHS) testing, including test setup, subject instrumentation and post-impact autopsies.  Dr. Sochor has been PI or Co-PI on several grants which address issues related to motor vehicle safety as well as human response to blunt trauma."
290,Tengteng Tang,MAE,"Adaptation of the structure at all levels of hierarchy. The main focus of Dr. Tang's lab is to understand how these structures relate to their biomechanical functions across multiple length scales, with a particular interest at micro- and nanoscale levels. This understanding is critically important as some musculoskeletal diseases originate at the fundamental building block levels of individual collagen fibrils and mineral particles, such as in osteoarthritis."
291,Thomas Ward,MAE,"Dr. Ward received a B.S. (1998) in Chemical Engineering from Missouri University of Science and Technology with a minor in Applied Mathematics, M.S. (2001) in Chemical Engineering from Stanford University and Ph.D. (2003) in Mechanical Engineering from University of California, Santa Barbara. He worked in postdoctoral researcher positions at Harvard University from 2001-2003 in the School of Engineering and Applied Science, and at the University of California, Los Angeles from 2003-2005 in the Math department. Prior to joining UVA, he served in the Aerospace Engineering department at Iowa State University. His research efforts have been supported by NSF, AFOSR, AFRL and DARPA, among others."
292,Baoxing Xu,MAE,Dr. Xu joined the Department of Mechanical and Aerospace Engineering at The University of Virginia in the fall of 2014. He received his PhD in Mechanics and Materials from Columbia University in 2012 and was a Beckman Postdoctoral Fellow at the University of Illinois at Urbana-Champaign from 2012 to 2014.
293,Reid Bailey,SYS,"Reid Bailey is an engineering educator, designer, and scholar focused on engineering design education, systems thinking and analysis, & sustainability.  He joined the University of Virginia faculty in 2006, after he had held faculty posts at the University of Dayton and the University of Arizona, where he was the Lockheed Martin Assistant Professor of Engineering Design. With a focus on integrating real world engineering work into classes, Reid:"
294,Laura Barnes,SYS,"Laura Barnes is a professor in the Department of Systems and Information Engineering. She is the Associate Director of Link Lab and directs the Sensing Systems for Health Lab which focuses on designing impactful, technology-enabled solutions for improving health and well-being. She received her Ph.D. degree in computer science from the University of South Florida. Laura’s work has been funded by the National Institutes of Health, National Institute of Aerospace, US Army, and private foundations."
295,Matthew Bolton,SYS,"Dr. Bolton is an Associate Professor in the Department of Systems and Information Engineering at the University of Virginia. Prior to joining UVA in January 2022, he was a Senior Researcher at the NASA Ames Research Center, an Assistant Professor of Industrial Engineering at the University of Illinois at Chicago, and an Assistant/Associate Professor at the University at Buffalo, the State University of New York. Dr. Bolton is primarily interested in studying why engineered systems fail, and how to prevent failures through human-centered systems engineering. As such, he is an expert on the use of formal, mathematical methods in human factors engineering, particularly as it relates to discovering engineering oversights that lead to human behavior, error, and cognition contributing to failures. He has successfully applied his research to safety-critical applications in aerospace, medicine, defense, and cybersecurity. Dr. Bolton has received funding on projects sponsored by the European Space Agency, NSF, NASA, AHRQ, and DoD."
296,Marc Breton,SYS,"Dr. Marc Breton’s research is centered on bringing engineering techniques such as mathematical modeling, simulation, signal processing and automatic control into the field of medicine and clinical practice. Dr. Breton has participated in the design of the first (and to date only) simulation environment accepted by the US Food & Drugs Administration as replacement for animal studies in pre-clinical assessment of insulin treatment strategies, and is now in charge of its update and further development. He has been principal investigator on many clinical trials aimed at testing new insulin delivery strategies capable of avoiding hypoglycemia and reducing hyperglycemia, using continuous glucose monitors and subcutaneous insulin injection (Artificial Pancreas), and participated to the protocol and system designs. Aside from his responsibilities in the center Dr Breton enjoys rugby, sailing, food and wine, and family time."
297,Donald Brown,SYS,"Dr. Brown is Founding Director of the Data Science Institute, the W.S. Calcott Professor in the Systems and Information Engineering Department and Co-Director of the Translational Health Institute of Virginia, University of Virginia. Prior to joining the University of Virginia, Dr. Brown served as an officer in the U.S. Army and later worked at Vector Research, Inc. on projects in medical information processing and multi-sensor surveillance systems. He is now President of Commonwealth Computer Research, Inc. which provides data analysis and technical services for numerous private and governmental organizations. He serves on the National Research Council Committee on Transportation Security has served on the National Academy of Sciences panel on High Performance Computing and Crisis Management and on the NRC Committee on Surface Transportation Infrastructure Security. He is a past member of the Joint Directors of Laboratories Group on Data Fusion and a former Fellow at the National Institute of Justice Crime Mapping Research Center."
298,Matthew Burkett,SYS,"Matt Burkett joined the University of Virginia faculty in 2022 after holding several positions in the private sector as the Vice President of Research for the investment firm, LOC Advisers, and as a Senior Director for Data & Analytics at the Ankura Consulting Group.  With a passion for teaching and integrating systems engineering fundamentals into real-world business practices, Matt is the Director of Professional Programs. He leads the development, launch, and operation of the ACCELERATED MASTER'S PROGRAM (AMP) in Systems Engineering in Northern Virginia.  Beyond his strong interest in teaching and executive education, Matt's research interests include the application of systems engineering principles in financial engineering and investment management, economic and statistical modeling, and Markovian processes."
299,James Cheng,SYS,"Jim Cheng has over 25 years experience as a technology entrepreneur, angel/private capital investor, business leader and a senior state government executive. His primary interests are in the support and development of technology entrepreneurs and the entrepreneurial ecosystem of the University and the region."
300,Hongru Du,SYS,"Hongru Du is an Assistant Professor in the Department of Systems and Information Engineering at the University of Virginia. His research integrates systems engineering, artificial intelligence, and public health to develop AI-driven and computational frameworks that support data-informed health decision-making. He focuses on modeling human–disease interactions and improving the resilience and efficiency of health systems. Dr. Du is a founding contributor to the Johns Hopkins University CSSE COVID-19 Dashboard, one of the world’s most widely used pandemic tracking tools. His infectious disease forecasting models have supported the U.S. Centers for Disease Control and Prevention in guiding national responses to COVID-19 and seasonal influenza outbreaks. He continues to advance computational methodologies that integrate human behavior into complex systems modeling, with the goal of improving preparedness and resilience to tackle broader societal challenges."
301,Roman Krzysztofowicz,SYS,"Dr. Krzysztofowicz joined the U.Va. faculty in 1982, after he had held faculty posts at the University of Arizona and MIT. He He develops theories and models for probabilistic forecasting and optimal decision making under uncertainty."
302,James Lark,SYS;APMA,"Recipient of various academic honors, scholarships, and fellowships"
303,Jennifer Lobo,SYS,"My research interests involve using mathematical modeling and stochastic optimization methods (primarily Markov modeling, Markov decision processes, and Monte Carlo simulation) to build models that simulate the natural course of disease. These models allow for estimation of outcomes under different screening and treatment policies in the absence of randomized controlled trials, and can be used to optimize screening and treatment decisions for patients with chronic diseases. My current projects include optimizing treatment and policy decisions for patients with type 2 diabetes, validating infrastructure decisions and scheduling for rural tele-cystoscopy clinics, and developing optimal treatment guidelines for small renal masses."
304,Henning Mortveit,SYS,"Henning Mortveit is an associate professor in the Department of Systems and Information Engineering and the Network Systems Science and Advanced Computing division in the UVA Biocomplexity Institute. He received his doctorate in mathematics from the Norwegian University of Science and Technology in 2000. Before joining UVA, he held positions at the Los Alamos National Laboratory and at Virginia Tech."
305,Daniel Otero-León,SYS,"Daniel Otero-Leon is an Assistant Professor in the Department of Systems and Information Engineering at the University of Virginia. His research combines systems engineering, operations research, and machine learning to improve decision-making in healthcare. He develops models that explain and predict complex health behaviors, including youth substance use and mental health, cardiovascular disease prevention, and cancer management. His goal is to apply these models to design personalized and effective interventions."
306,Michael Porter,SYS,Michael D. Porter is an Associate Professor of Systems Engineering with a joint appointment at the Darden School of Business at the University of Virginia.
307,Adarsh Ramakrishnan,SYS,"Adarsh Ramakrishnan is a product management leader and entrepreneur with a passion for engineering, design, and business. He founded 3 product-focused businesses and served in executive roles at an agency and manufacturing startup. He has also worked as a full-time product manager at CarMax, and has consulted for several SMBs."
308,Robert Riggs,SYS,"My research interest include integer programming and combinatorial optimization, healthcare systems engineering, applying lean enterprise to healthcare and manufacturing applications, optimization of disassembly and remanufacturing system, and game theory."
309,Sara Riggs,SYS,"My research focuses on task sharing, attention management, and interruption management in complex environments that have included aviation, healthcare, military operations, and manufacturing. These work environments impose considerable and continually increasing attentional demands on operators by requiring them to work symbiotically with automation and technology. As such, they are required to divide their mental resources effectively amongst numerous tasks and sources of information. It is critical to consider cognitive ergonomics and systems engineering to support the design of interfaces that can present the right information at the right time. I currently have ongoing research on the following topics:"
310,In William,SYS,"It is with great sadness that UVA Engineering shares news of a significant loss within our community.  Bill Scherer, professor and chair of Systems and Information Engineering, passed away on Wednesday, October 30. Please read more about Bill's life and legacy."
